partido,candidato,frase,veredicto,justificacion,fuentes_consultadas
Ahora Nación,Alfonso López-Chau,"Implementar el historial clínico electrónico en el 100% en todos los centros de salud públicos y privados, en el que se tenga acceso además a los exámenes médicos completos.",Factible,"La propuesta cuenta con un marco normativo vigente (Ley N° 30024 y decretos sobre transformación digital). Es una función administrativa del Ministerio de Salud (MINSA) en coordinación con los gobiernos regionales. La meta del 100% requiere la implementación progresiva de sistemas interoperables, lo cual el Ejecutivo puede gestionar mediante inversión en TIC y conectividad, sin necesidad de reformas constitucionales.","Ley N° 30024 (Ley que crea el Registro Nacional de Historias Clínicas Electrónicas) y Decreto Legislativo N° 1412 (Ley de Gobierno Digital), que otorgan el marco legal habilitante inmediato."
Ahora Nación,Alfonso López-Chau,La meta es eliminar la desnutrición crónica infantil en niños menores de 5 años. (...) lograremos casi erradicar esta forma de malnutrición.,Engañosa,"La meta de llevar a 0% la Desnutrición Crónica Infantil (DCI) en cinco años contrasta con la naturaleza multicausal del problema, que depende del acceso a agua potable y saneamiento. Según la serie histórica del INEI-ENDES, la DCI se mantiene en el rango del 11.5% - 11.7%. Una reducción total en un quinquenio excede las proyecciones estadísticas actuales y los plazos de cierre de brechas en infraestructura sanitaria.",INEI - Encuesta Demográfica y de Salud Familiar (ENDES): La DCI se ha estancado alrededor del 11.5% - 11.7% en los últimos años. Reducir más de 11 puntos porcentuales a 0% en 5 años es estadísticamente improbable según la serie histórica.
Ahora Nación,Alfonso López-Chau,Garantizar que el sistema educativo implemente estrategias orientadas a que la totalidad de los estudiantes de educación primaria comprendan lo que lean,Sin sustento,"La propuesta establece una meta del 100% de comprensión lectora. Actualmente, las evaluaciones ECE indican que el nivel satisfactorio ronda el 30-40%. El plan menciona la implementación de estrategias sin detallar la metodología pedagógica o el cambio curricular específico que permitiría cubrir la brecha del 60% restante en el plazo de cinco años, según los ritmos históricos de mejora registrados por el MINEDU.","MINEDU - Evaluación Censal de Estudiantes (ECE): Históricamente, el nivel ""Satisfactorio"" en lectura en 2° de primaria bordea el 37-40%. No existe sustento en el documento para explicar cómo se cubrirá la brecha del 60% restante en un solo gobierno."
Alianza Fuerza y Libertad,Fiorella Molinelli,"Construir y modernizar al menos 350 establecimientos de salud de primer y segundo nivel (postas y centros de salud), priorizando zonas rurales y periurbanas con mayor brecha de atención",Factible,"La propuesta se ajusta a los plazos de un periodo de gobierno. La intervención en 350 establecimientos implica un promedio de 70 obras anuales. Los establecimientos de primer nivel (I-3, I-4) presentan menor complejidad técnica que los hospitales, y su ejecución puede canalizarse a través del PRONIS y los Gobiernos Regionales. La meta aborda aproximadamente el 20% de la brecha diagnosticada en el propio plan.","MINSA - Registro Nacional de Instituciones Prestadoras de Servicios de Salud (RENIPRESS) y Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC), que validan la brecha de infraestructura del primer nivel y la capacidad de ejecución anual del sector salud en obras de menor envergadura."
Alianza Fuerza y Libertad,Fiorella Molinelli,"Incrementar la capacidad hospitalaria nacional en al menos 30,000 nuevas camas, cerrando aproximadamente el 50% del déficit de camas hospitalarias y acercando al país a estándares regionales.",Engañosa,"La incorporación de 30,000 camas nuevas en cinco años implicaría un incremento superior al 60% de la capacidad actual (aprox. 45,000 - 50,000 camas). Esto equivale a construir y equipar cerca de 100 hospitales de 300 camas. Los plazos del sistema de inversión pública (Invierte.pe) para hospitales promedian entre 8 a 10 años. Asimismo, la formación de médicos especialistas requeridos para operar dicha infraestructura toma más de 7 años.","INEI - Anuario de Estadísticas Ambientales 2023 (Capítulo Salud) y SUSALUD, que reportan el stock actual de camas y la ratio de médicos por habitante (aprox. 13 por 10,000 hab), demostrando la imposibilidad técnica de cubrir la brecha de recursos humanos necesaria para tal expansión en un quinquenio."
Alianza Fuerza y Libertad,Fiorella Molinelli,Garantizar que el acceso a tratamientos esenciales deje de ser una carga económica para las familias y se consolide como un derecho efectivo.,Sin sustento,"La propuesta no detalla los mecanismos financieros para subsidiar la totalidad de los tratamientos de alto costo ni define el alcance de ""tratamientos esenciales"". Actualmente, el gasto de bolsillo representa entre el 30-40% del gasto total en salud. Sin una reforma tributaria o un fondo específico detallado, la eliminación total del gasto de bolsillo enfrenta restricciones en la Ley de Presupuesto del Sector Público.","Cuentas Nacionales de Salud (CNS) del Ministerio de Salud, que evidencian que el gasto de bolsillo de los hogares sigue siendo una de las principales fuentes de financiamiento del sistema, y la Ley de Presupuesto del Sector Público, que no muestra holgura fiscal para absorber la totalidad de este costo privado sin una reforma fiscal mayor."
Alianza para el Progreso,César Acuña,"Viabilizar el Plan Mil utilizando el mecanismo de APP. Esto implica mejorar más de mil centros de salud de primer nivel de atención del MINSA, dotándolos de adecuada infraestructura, equipamiento y recursos humanos.",Factible,"La propuesta plantea el uso de Asociaciones Público-Privadas (APP), reguladas por el D.L. N° 1362, para agilizar la inversión. Las APP permiten empaquetar múltiples centros de salud en un solo contrato, trasladando riesgos al privado. ProInversión dispone de experiencia en esta modalidad. La viabilidad depende de la priorización presupuestal del MINSA para cubrir los compromisos de pago, sin requerir cambios constitucionales.","Decreto Legislativo N° 1362 (Ley de Asociaciones Público Privadas) y Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC), que valida el uso de APPs para el cierre de brechas en salud."
Alianza para el Progreso,César Acuña,"Logro satisfactorio en matemática (2° secundaria) [...] Meta 2030-2031: 45%."" (Línea base reportada en el plan: 17%).",Engañosa,La propuesta plantea triplicar el rendimiento satisfactorio en matemáticas (del 17% al 45%) en un periodo de gobierno. Los registros históricos de la Evaluación Censal de Estudiantes (ECE) muestran variaciones anuales de entre 1 y 2 puntos porcentuales. Un incremento de 28 puntos porcentuales en cinco años supera los ritmos de mejora registrados anteriormente en el sistema educativo peruano.,"MINEDU - Unidad de Medición de la Calidad de los Aprendizajes (UMC): Resultados históricos de la Evaluación Muestral (EM) 2022-2023, que evidencian el estancamiento y la lenta recuperación de los aprendizajes post-pandemia."
Alianza para el Progreso,César Acuña,Certificación de dominio del inglés y de la Inteligencia Artificial (IA).,Sin sustento,"La propuesta no especifica si la certificación será universal o piloto, ni detalla el presupuesto para licenciamientos. Según el Censo Educativo 2023, existe una brecha de acceso a internet y equipamiento en colegios públicos, así como un déficit de docentes certificados en inglés. La implementación a escala nacional enfrenta restricciones de infraestructura y capital humano en el corto plazo.","Censo Educativo - MINEDU (2023): Reporta que un alto porcentaje de colegios públicos aún carece de acceso a internet de calidad y equipamiento tecnológico funcional, condiciones sine qua non para cualquier certificación en IA."
Alianza Unidad Nacional,Roberto Chiabra,"Fortalecimiento de los 748 establecimientos estratégicos georreferenciados que serían aquellos que funcionen 24 horas y ofrezcan atención ambulatoria, emergencias y servicios especializados.",Factible,"La propuesta es viable y se alinea con la categorización de establecimientos estratégicos del MINSA. Ampliar horarios depende de la asignación presupuestal para personal (gasto corriente), medida ejecutable por el sector.",Resolución Ministerial N.º 907-2016/MINSA: Aprueba la norma técnica para el planeamiento de los establecimientos de salud estratégicos. Ley N.º 30885: Ley que establece la conformación y el funcionamiento de las Redes Integradas de Salud (RIS).
