veredicto,sector,partido,promesa,verbo,plazo,justificacion,obstaculos,condiciones_para_viabilidad,fuentes
Se puede ejecutar,infraestructura,Acción Popular,"Garantizaremos la conservación y el uso adecuado de los inmuebles, monumentos, casonas y entornos patrimoniales, controlando intervenciones no autorizadas, publicidad que afecte el paisaje urbano y ocupaciones que deterioren el valor patrimonial del Centro Histórico.",Garantizaremos,Sin plazo definido,"La promesa se enmarca en competencias municipales de la MML: la Ley 27972 permite a las municipalidades provinciales promover la protección y conservación del patrimonio cultural dentro de su jurisdicción, colaborar en su control y restauración, y dictar normas sobre ornato y vigilar su cumplimiento; además, regula autorizaciones y fiscalización sobre construcciones, avisos publicitarios y propaganda, así como limitaciones especiales en zonas monumentales[1][12]. El ROF de la MML asigna a sus órganos funciones en cultura, fiscalización y gestión urbana, lo que habilita acciones de control sobre intervenciones no autorizadas, publicidad invasiva y ocupaciones que deterioren el Centro Histórico sin requerir una competencia externa[8][14]. En el presupuesto, el pliego 150101 ya existe y la restricción principal no es legal sino de capacidad operativa; no se advierte que la promesa dependa de un nuevo marco normativo para ser ejecutada en su versión de fiscalización y conservación ordinaria[3][13].","Capacidad operativa y presupuestal limitada del pliego 150101 para intensificar fiscalización, intervención física y control continuo en el Centro Histórico; además, las medidas de mayor alcance sobre bienes declarados monumento o autorizaciones específicas pueden requerir coordinación con el sector cultura.",,Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ordenanza N.° 2537 - ROF de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Consulta Amigable MEF - Pliego 150101 Municipalidad Metropolitana de Lima: https://apps5.mineco.gob.pe/ | Portal institucional de la Municipalidad Metropolitana de Lima: http://www.gob.pe/institucion/munilima/normas-legales?sheet=15
Se puede ejecutar,infraestructura,Ahora Nación,"La fiscalización municipal metropolitana garantizará el cumplimiento de las normas relacionadas con el transporte, el uso del suelo, la seguridad en edificaciones, la publicidad exterior y la ocupación de la vía pública.",garantizará,Sin plazo definido,"La promesa se ubica dentro de competencias propias de la MML: la Ley 27972 asigna a las municipalidades provinciales funciones de normar, regular, organizar, fiscalizar y controlar el transporte urbano y el uso de la vía pública (art. 81), además de fiscalización municipal general sobre servicios y cumplimiento de ordenanzas (art. 31); el ROF de la MML aprobado por Ordenanza 2537-2023-MML asigna a la GTU y áreas de fiscalización funciones de control y regulación del tránsito, interferencias, zonas rígidas y restricciones de circulación. La MML ya cuenta con estructura operativa para fiscalización, y el pliego 150101 tiene presupuesto institucional vigente, por lo que la acción de garantizar cumplimiento mediante fiscalización puede ejecutarse con el marco existente sin requerir una reforma normativa previa ni esperar al siguiente ejercicio. La promesa no crea una nueva competencia, sino que describe una función ya atribuida a la municipalidad en materias de transporte, uso del suelo en el ámbito municipal, seguridad en edificaciones, publicidad exterior y ocupación de la vía pública, aunque su alcance concreto dependerá de los procedimientos y capacidades de inspección ya vigentes.","Capacidad operativa y cobertura fiscalizadora limitada por el presupuesto y el personal del pliego 150101; no se advierte un impedimento de competencia, sino de intensidad de التنفيذ y coordinación interna.",,Ley Orgánica de Municipalidades - Ley 27972: https://www.congreso.gob.pe/Docs/DGP/DIDP/files/descentralizacion/27972.pdf | Ordenanza N.° 2537-2023-MML - ROF de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Consulta amigable MEF - Pliego 150101 Municipalidad Metropolitana de Lima: https://apps5.mineco.gob.pe/transparencia/Navegador/default.aspx | Portal institucional MML: https://www.munlima.gob.pe/
Se puede ejecutar,infraestructura,Alianza Electoral Venceremos,"Fiscalización electrónica contra estacionamiento indebido, invasión de vía y paraderos informales.",Fiscalización electrónica,Sin plazo definido,"La fiscalización municipal sobre estacionamiento indebido, invasión de vía y paraderos informales se encuadra en la competencia de la MML para fiscalizar servicios públicos locales y controlar el cumplimiento de normas de tránsito y transporte con apoyo de la PNP, conforme al artículo 9.2 y el artículo 73 de la Ley 27972; además, el ROF de la MML aprobado por Ordenanza 2537 organiza funciones de fiscalización y transporte metropolitano. La propia normativa citada sobre estacionamiento vehicular y el régimen sancionador municipal muestran que la municipalidad puede ejecutar control y sanción administrativa sin crear una competencia nueva. El compromiso puede implementarse con recursos y funciones ya existentes del pliego 150101, cuyo peso presupuestal es limitado, pero el carácter de fiscalización electrónica no exige por sí mismo una inversión nueva si se usa la capacidad operativa vigente de supervisión, Serenazgo, fiscalización y transporte metropolitano.","La eficacia depende de coordinación operativa con la PNP para intervenciones en tránsito y de la capacidad tecnológica ya disponible en el pliego 150101; si se pretendiera ampliar cobertura con cámaras, analítica o integración masiva de sistemas, podría requerir reasignación o ajuste presupuestal.",,Ley Orgánica de Municipalidades - Ley 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ordenanza N.° 2537 - ROF de la Municipalidad Metropolitana de Lima: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Consulta y normativa sobre estacionamiento vehicular y fiscalización municipal: https://www.sat.gob.pe/transparenciav2/Normas/descargar/LEY_27972_v3.pdf
Se puede ejecutar,infraestructura,Avanza País,"Se realizará un diagnóstico completo de los 43 distritos que incluirá información geoespacial actualizada, la identificación de puntos críticos, el inventario de infraestructura vulnerable, las brechas logísticas y las capacidades operativas existentes.",realizará,Sin plazo definido,"La promesa se ubica dentro de competencias municipales provinciales ya reconocidas por la Ley 27972: el artículo 79 asigna a las municipalidades provinciales el planeamiento y la organización del espacio físico, incluyendo catastro urbano y rural, zonificación, habilitación urbana y saneamiento físico legal; además, el artículo 73 vincula a las municipalidades con el desarrollo integral y el artículo 82 con la elaboración y mantenimiento del catastro urbano y rural. El ROF de la MML, aprobado por la Ordenanza 2537, organiza funciones internas compatibles con catastro, fiscalización, gestión territorial y soporte técnico, por lo que un diagnóstico distrital con información geoespacial, puntos críticos, inventario de infraestructura vulnerable y capacidades operativas puede ejecutarse con la estructura existente. En el pliego 150101, la MML registra un presupuesto institucional que, según la Consulta Amigable MEF, se consulta en tiempo real para PIA/PIM y ejecución; el dato crítico aportado es que su inversión per cápita es S/ 7.42, el menor del país, pero la promesa describe un diagnóstico y no una obra ni una expansión de servicios, por lo que no exige una modificación normativa ni un nuevo programa para su inicio.","La principal restricción es operativa y de articulación intergerencial: consolidar información actualizada de los 43 distritos exige coordinación entre áreas de catastro, fiscalización, transporte, gestión del riesgo, serenazgo y planeamiento; sin embargo, ello no desplaza la competencia municipal. El límite presupuestal existe por la baja inversión per cápita del pliego 150101, pero no impide de por sí un diagnóstico si se usan capacidades ya instaladas y bases de datos existentes.",null,Ley N.° 27972 - Ley Orgánica de Municipalidades: https://www.mef.gob.pe/es/normatividad/por-instrumento/leyes/6839-ley-n-27972-2/file | Ordenanza N.° 2537 - ROF de la Municipalidad Metropolitana de Lima: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Consulta Amigable MEF - Seguimiento de la ejecución presupuestal: https://www.mef.gob.pe/es/seguimiento-de-la-ejecucion-presupuestal-consulta-amigable
Se puede ejecutar,infraestructura,COALICION_TRANSFORMADORA_TIERRA_VERDE.pdf,"Implementación de la 'Red de Semáforos Inteligentes de Lima', centralizada en un cerebro informático inteligente capaz de alterar los tiempos de luz verde basándose en flujos vehiculares en tiempo real.",Implementación,Sin plazo definido,"La promesa se ubica dentro de la competencia propia de la Municipalidad Metropolitana de Lima: el artículo 81.1.3 de la Ley 27972 le asigna a las municipalidades provinciales normar, regular, organizar y mantener los sistemas de señalización y semáforos, y el artículo 161.7.3 atribuye a la MML planificar, regular, organizar y mantener la red vial metropolitana y los sistemas de semáforos. El ROF de la MML, aprobado por Ordenanza 2537, asigna a la Gerencia de Movilidad Urbana y su Subgerencia de Ingeniería de Tránsito funciones para regular, organizar, implementar, mantener y renovar los sistemas semafóricos y de señalización. Por tanto, la implementación de una red de semáforos inteligentes es una acción de gestión municipal que puede ejecutarse con las estructuras y funciones vigentes; no requiere una nueva competencia ni depende de otra entidad para el acto administrativo y técnico principal.","El principal límite es presupuestal y de capacidad de ejecución en el pliego 150101, que tiene la menor inversión per cápita del país según el contexto aportado; además, una red inteligente integral exige adquisición tecnológica, integración de centros de control, mantenimiento y eventual coordinación con vías y semaforización distrital. Si la intervención supera el PIA/PIM vigente o no cuenta con proyecto ya programado, la ejecución física completa puede quedar restringida por disponibilidad de crédito presupuestario.",,Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.congreso.gob.pe/Docs/DGP/DIDP/files/descentralizacion/27972.pdf | Ley Orgánica de Municipalidades - texto concordado: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | ROF de la Municipalidad Metropolitana de Lima - Ordenanza 2537: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | MML - Portal institucional: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D
Se puede ejecutar,infraestructura,Demócrata Verde,"La Municipalidad de Lima Metropolitana, promoverá los proyectos de asociaciones público-privadas (APP), iniciativas privadas autofinanciadas y/o proyectos en activos de iniciativas privadas, aplicado y utilizando la Certificación del Sistema de Gestión de la Calidad (ISO 9001:2015) y de Gestión Antisoborno (ISO 37001-2016) en sus procesos de inversión público-privada y proyectos en activos.",promoverá,Sin plazo definido,"La promesa se mantiene dentro de la competencia municipal porque la Ley 27972 permite a la MML promover inversión privada en proyectos de interés local y aprobar concesiones u otras formas de participación privada en infraestructura y servicios públicos municipales, conforme a los artículos 73.4, 32 y 35. Además, el rol de la municipalidad es promotor, normativo y regulador en materias de su competencia, por lo que “promover” APP, iniciativas privadas autofinanciadas y proyectos en activos es jurídicamente compatible con su función. El componente de aplicar certificaciones ISO 9001:2015 e ISO 37001:2016 también es ejecutable como estándar interno de gestión sin requerir asumir competencia ajena; no obstante, la viabilidad operativa depende de que la MML ya tenga una unidad o gerencia de promoción de inversión privada y presupuesto de gestión suficiente en el pliego 150101, que es el de menor inversión per cápita del país.","No hay obstáculo de competencia material, pero sí un límite operativo: la promesa no garantiza la aprobación de APP o proyectos en activos, que dependen de expedientes, evaluación técnica, y del marco especial aplicable; además, la adopción/expansión de certificaciones ISO exige recursos de implementación, auditoría y mantenimiento dentro del presupuesto institucional del pliego 150101.",,Ley Orgánica de Municipalidades - Ley 27972: https://www.leyes.congreso.gob.pe/Documentos/Leyes/27972.pdf | Ley Orgánica de Municipalidades - Ley 27972 (compendio MEF): https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ordenanza Municipal N.° 2537: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Portal de Transparencia - Municipalidad Metropolitana de Lima: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D
Se puede ejecutar,infraestructura,Frente de la Esperanza,"Modernizar la gestión municipal, Movilidad urbana – Protránsito, y se convierta en Centro Metropolitano Inteligente de Gestión del Tránsito.",Modernizar,Sin plazo definido,"La promesa es compatible con las competencias de la MML porque la Ley 27972 atribuye a las municipalidades provinciales normar, regular, organizar, mantener sistemas de señalización y semáforos, y regular el tránsito urbano de peatones y vehículos; además, la MML tiene funciones metropolitanas de planificar, regular y gestionar el tránsito urbano y la red vial metropolitana. El ROF de la MML, aprobado por la Ordenanza 2537 y modificatorias, asigna funciones operativas vinculadas a estudios, regulación, interferencias de vías, zonas rígidas, sentido de circulación y restricciones vehiculares, lo que permite crear o reforzar un centro de gestión del tránsito dentro de su estructura vigente. Dado que el pliego 150101 cuenta con presupuesto propio y la materia está dentro de su ámbito, la modernización de la gestión y el componente Protránsito pueden ejecutarse con los instrumentos ya existentes, sin requerir una nueva competencia ni una transferencia de otra entidad.","La limitación concreta es operativa y presupuestal: la promesa exige capacidad tecnológica, personal y articulación interna, pero no se identifica un obstáculo competencial externo; si se pretendiera expandir el alcance fuera de las funciones metropolitanas o adquirir nueva infraestructura no prevista en el PIM, requeriría programación presupuestal.","Si la mejora tecnológica o el Centro Metropolitano Inteligente demandan equipamiento, software o ampliación de servicios no contemplados, su habilitación dependería de una modificación presupuestaria del PIA/PIM o de su programación en el siguiente ejercicio fiscal mediante los canales presupuestales del pliego 150101.",Ley Orgánica de Municipalidades - Ley N° 27972: https://www.congreso.gob.pe/Docs/DGP/DIDP/files/descentralizacion/27972.pdf | ROF de la Municipalidad Metropolitana de Lima - Ordenanza N° 2537-2023-MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Consulta Amigable MEF - Pliego 150101 Municipalidad Metropolitana de Lima: https://apps5.mineco.gob.pe/transparencia/Navegador/default.aspx
Se puede ejecutar,infraestructura,Fuerza Ciudadana,Mejoramiento de vías metropolitanas.,Mejoramiento,Sin plazo definido,"La promesa encaja en competencias propias de la Municipalidad Metropolitana de Lima: el artículo 161.7.3 de la Ley 27972 le asigna “planificar, regular, organizar y mantener la red vial metropolitana, los sistemas de señalización y semáforos”, y el artículo 81.1.3 atribuye a las municipalidades provinciales normar y mantener la señalización y semáforos del tránsito urbano. Además, la MML ya cuenta con funciones internas para intervenir en infraestructura vial mediante su ROF aprobado por Ordenanza 2537 y modificatorias, incluyendo gestión de ingeniería de tránsito y regulación vial. En el presupuesto, el pliego 150101 de la MML para 2026 existe y habilita gasto para obras y mantenimiento vial dentro de su programación; por ello, “mejoramiento de vías metropolitanas” puede ejecutarse con competencias y marco normativo ya vigentes, sin exigir una nueva habilitación legal para la acción en sí.","La ejecución está limitada por la disponibilidad real del PIM del pliego 150101, la priorización de inversiones y la capacidad de contratación y obra de la propia MML; si el alcance de la mejora supera lo programado, requerirá reprogramación presupuestal o financiamiento adicional dentro del pliego.",,Ley Orgánica de Municipalidades - Ley 27972: https://jurispol.pe/ley-organica-de-municipalidades-ley-27972/ | Ley Orgánica de Municipalidades - Ley 27972 (MEF): https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ordenanza N.° 2537-2023-MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Ordenanza modificatoria del ROF de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2359036-1 | Portal de ordenanzas metropolitanas: https://portal.imp.gob.pe/Normas_Urbanisticas/metropolitano/ordenanzas-mml.html | Municipalidad Metropolitana de Lima - Transparencia: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D
Se puede ejecutar,infraestructura,Fuerza Popular,"Plan 'Lima Fluye': Automatización del control del trafico mediante una red de seméforos inteligentes centralizados con IA para ajustar tiempos de ciclo en tiempo real, eliminando cuellos de botella en los ejes arteriales más críticos de la ciudad.",Automatización,Sin plazo definido,"La promesa se ubica dentro de una competencia propia de la MML: el artículo 81.1.3 de la Ley 27972 le atribuye a las municipalidades provinciales normar, regular, organizar y mantener los sistemas de señalización y semáforos, y el artículo 161.7.3 reconoce a la MML la función de planificar, regular, organizar y mantener la red vial metropolitana y los sistemas de señalización y semáforos. Además, el ROF metropolitano asigna a la Subgerencia de Ingeniería del Tránsito la función de regular, organizar, instalar, mantener y renovar los sistemas de señalización y semáforos en la provincia de Lima, y ya existen criterios técnicos metropolitanos para implementación de semaforización aprobados por decreto de alcaldía. El pliego 150101 cuenta con presupuesto propio, aunque reducido, pero la acción descrita puede ejecutarse como gestión e inversión dentro de competencias vigentes sin requerir una norma habilitante nueva ni esperar el siguiente ejercicio fiscal.","El principal obstáculo es presupuestal y operativo: la red de semáforos inteligentes centralizados con IA exige adquisición, integración tecnológica, mantenimiento y eventual interoperabilidad con sistemas existentes, todo ello con un pliego 150101 de inversión per cápita muy bajo. También puede requerir priorización técnica de corredores y coordinación con el sistema vial y el tránsito metropolitano ya existente.",,Ley Orgánica de Municipalidades - Ley N° 27972: https://www.congreso.gob.pe/Docs/DGP/DIDP/files/descentralizacion/27972.pdf | Decreto de Alcaldía N° 13-2022 - Criterios Técnicos Mínimos para la Implementación de Equipos y Sistemas de Semaforización: http://www.normaslegalesonline.pe/clp/contenidos.dll/Legislacion/1736024/1757916/1758197/1758214?fn=document-frame.htm$f=templates$3.0 | Plataforma institucional de transparencia de la Municipalidad Metropolitana de Lima: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D
Se puede ejecutar,infraestructura,Juntos por el Perú,"Se implementará un Dashboard Metropolitano de Datos Abiertos que permita visualizar en tiempo real información clave sobre la gestión urbana, bajo estándares internacionales de gobierno abierto y utilizando plataformas tipo Comprehensive Knowledge Archive Network (CKAN).",Se implementará,Sin plazo definido,"La promesa se ubica dentro de las competencias de gestión, transparencia y gobierno digital de la MML, no en una función reservada al gobierno nacional; la Ley 27972 reconoce a los gobiernos locales potestad promotora, normativa, reguladora, de ejecución y fiscalización en sus materias, y además les exige contar con portales de transparencia en Internet (art. 148).[1] El ROF de la MML aprobado por Ordenanza 2537 y sus modificatorias, así como las modificaciones recientes al ROF, muestran que la entidad ya cuenta con una Oficina/Gerencia de Gobierno Digital y publicación obligatoria en su portal institucional, por lo que un dashboard con datos abiertos puede implementarse con la estructura orgánica vigente.[2][3] El portal de transparencia de la MML y su presencia institucional en gob.pe ya evidencian servicios y publicación de información, y la categoría del compromiso no depende de crear una nueva competencia ni de una ley especial; el requisito práctico es alinear la integración de datos y su visualización a los sistemas existentes del pliego 150101.[3][4] Aunque el presupuesto per cápita del pliego 150101 es reducido, el enunciado no exige una inversión mayor ni una obra física, sino la implementación de una capa de visualización y publicación de datos, por lo que puede ejecutarse en la gestión actual con recursos ordinarios ya disponibles si se prioriza internamente.[5]","Necesita disponibilidad operativa de datos consolidados entre unidades orgánicas, compatibilidad con los sistemas de información municipales y priorización interna del gasto corriente del pliego 150101; si se busca interoperabilidad avanzada o automatización en tiempo real, puede requerir desarrollo tecnológico adicional.",,Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.congreso.gob.pe/Docs/DGP/DIDP/files/descentralizacion/27972.pdf | Ordenanza N.° 2537 - ROF de la Municipalidad Metropolitana de Lima: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Modificación del ROF de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2359036-1 | Portal de Transparencia - Municipalidad Metropolitana de Lima: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Archivo Digital de la Legislación del Perú - Ley 27972: https://leyes.congreso.gob.pe/DetLeyNume_1p.aspx?xNorma=6&xNumero=27972&xTipoNorma=0
